rf_frequency(MHz),Lock in amp mag
6.00E-08,5107
7.00E-08,4381
8.00E-08,3985
9.00E-08,3809
1.00E-07,3589
1.10E-07,3977
1.20E-07,4011
1.30E-07,3568
1.40E-07,3567
1.50E-07,3460
1.60E-07,3381
1.70E-07,3685
1.80E-07,3296
1.90E-07,3023
2.00E-07,3468
2.10E-07,3162
2.20E-07,3469
2.30E-07,3560
2.40E-07,3643
2.50E-07,3725
2.60E-07,3872
2.70E-07,3606
2.80E-07,3655
2.90E-07,3555
3.00E-07,3642
3.10E-07,3459
3.20E-07,3417
3.30E-07,3434
3.40E-07,3191
3.50E-07,3499
3.60E-07,3658
3.70E-07,3234
3.80E-07,3612
3.90E-07,3466
4.00E-07,3358
4.10E-07,3304
4.20E-07,3330
4.30E-07,3429
4.40E-07,3455
4.50E-07,3509
4.60E-07,3767
4.70E-07,3497
4.80E-07,3458
4.90E-07,3607
5.00E-07,3575
5.10E-07,3889
5.20E-07,3562
5.30E-07,3631
5.40E-07,3532
5.50E-07,3346
5.60E-07,3496
5.70E-07,3709
5.80E-07,3542
5.90E-07,3544
6.00E-07,3557
6.10E-07,3353
6.20E-07,3507
6.30E-07,3256
6.40E-07,3303
6.50E-07,3339
6.60E-07,3424
6.70E-07,3716
6.80E-07,3693
6.90E-07,3647
7.00E-07,3779
7.10E-07,3756
7.20E-07,3500
7.30E-07,3599
7.40E-07,3275
7.50E-07,3329
7.60E-07,3378
7.70E-07,3328
7.80E-07,3434
7.90E-07,3329
