rf_frequency(MHz),Lock in amp mag
2750,170
2751,161
2752,155
2753,150
2754,145
2755,132
2756,122
2757,106
2758,85
2759,53
2760,33
2761,24
2762,60
2763,116
2764,190
2765,274
2766,365
2767,468
2768,561
2769,654
2770,737
2771,813
2772,873
2773,916
2774,949
2775,972
2776,966
2777,946
2778,904
2779,839
2780,760
2781,682
2782,564
2783,429
2784,391
2785,272
2786,205
2787,176
2788,111
2789,77
2790,60
2791,32
2792,16
2793,29
2794,38
2795,53
2796,41
2797,32
2798,48
2799,73
2800,105
2801,145
2802,203
2803,275
2804,376
2805,515
2806,669
2807,801
2808,916
2809,1037
2810,1165
2811,1272
2812,1367
2813,1416
2814,1407
2815,1335
2816,1213
2817,1084
2818,978
2819,869
2820,711
2821,526
2822,379
2823,267
2824,184
2825,121
2826,69
2827,46
2828,38
2829,34
2830,29
2831,25
2832,35
2833,41
2834,66
2835,103
2836,158
2837,232
2838,321
2839,422
2840,530
2841,657
2842,783
2843,905
2844,1022
2845,1127
2846,1217
2847,1249
2848,1227
2849,1179
2850,1132
2851,1096
2852,1054
2853,966
2854,856
2855,777
2856,763
2857,802
2858,858
2859,963
2860,1084
2861,1204
2862,1309
2863,1407
2864,1472
2865,1513
2866,1517
2867,1464
2868,1385
2869,1269
2870,1128
2871,990
2872,835
2873,697
2874,559
2875,473
2876,448
2877,500
2878,611
2879,736
2880,867
2881,1009
2882,1140
2883,1253
2884,1352
2885,1431
2886,1462
2887,1440
2888,1376
2889,1284
2890,1172
2891,1054
2892,938
2893,842
2894,787
2895,783
2896,808
2897,860
2898,923
2899,982
2900,1045
2901,1117
2902,1176
2903,1211
2904,1201
2905,1146
2906,1056
2907,926
2908,807
2909,717
2910,594
2911,434
2912,300
2913,205
2914,121
2915,64
2916,27
2917,4
2918,45
2919,110
2920,22
2921,12
2922,56
2923,65
2924,142
2925,237
2926,362
2927,500
2928,641
2929,798
2930,955
2931,1108
2932,1249
2933,1319
2934,1311
2935,1280
2936,1222
2937,1124
2938,989
2939,821
2940,652
2941,497
2942,358
2943,230
2944,130
2945,50
2946,36
2947,58
2948,74
2949,93
2950,110
2951,110
2952,85
2953,65
2954,42
2955,14
2956,63
2957,139
2958,235
2959,350
2960,471
2961,601
2962,715
2963,818
2964,907
2965,982
2966,1022
2967,1044
2968,1054
2969,1040
2970,973
2971,855
2972,719
2973,586
2974,457
2975,333
2976,226
2977,123
2978,48
2979,35
2980,71
2981,92
2982,107
2983,130
2984,148
2985,159
2986,169
2987,168
2988,157
2989,162
2990,166
2991,169
2992,184
2993,159
2994,138
2995,162
2996,174
2997,152
2998,142
2999,146
