rf_frequency(MHz),Lock in amp mag
2750,328
2751,349
2752,365
2753,355
2754,342
2755,347
2756,370
2757,367
2758,355
2759,379
2760,367
2761,388
2762,394
2763,412
2764,439
2765,438
2766,476
2767,505
2768,534
2769,564
2770,573
2771,591
2772,605
2773,612
2774,629
2775,607
2776,620
2777,586
2778,584
2779,595
2780,571
2781,552
2782,518
2783,489
2784,466
2785,440
2786,426
2787,426
2788,402
2789,406
2790,405
2791,402
2792,392
2793,387
2794,378
2795,378
2796,394
2797,378
2798,394
2799,395
2800,400
2801,408
2802,419
2803,430
2804,460
2805,488
2806,521
2807,565
2808,592
2809,600
2810,651
2811,665
2812,659
2813,651
2814,653
2815,667
2816,659
2817,636
2818,590
2819,577
2820,512
2821,508
2822,476
2823,431
2824,415
2825,408
2826,378
2827,399
2828,377
2829,372
2830,376
2831,386
2832,392
2833,399
2834,396
2835,411
2836,419
2837,445
2838,447
2839,497
2840,506
2841,543
2842,592
2843,616
2844,628
2845,675
2846,693
2847,693
2848,685
2849,677
2850,675
2851,656
2852,646
2853,633
2854,619
2855,601
2856,564
2857,575
2858,600
2859,600
2860,619
2861,681
2862,673
2863,679
2864,709
2865,718
2866,715
2867,693
2868,673
2869,689
2870,660
2871,604
2872,589
2873,552
2874,518
2875,494
2876,476
2877,514
2878,532
2879,546
2880,616
2881,639
2882,654
2883,715
2884,724
2885,696
2886,728
2887,728
2888,722
2889,666
2890,680
2891,636
2892,592
2893,588
2894,578
2895,566
2896,566
2897,577
2898,612
2899,620
2900,652
2901,655
2902,649
2903,681
2904,637
2905,633
2906,615
2907,594
2908,576
2909,548
2910,495
2911,478
2912,449
2913,419
2914,403
2915,384
2916,392
2917,380
2918,372
2919,382
2920,369
2921,364
2922,374
2923,401
2924,398
2925,447
2926,478
2927,518
2928,528
2929,598
2930,637
2931,654
2932,676
2933,684
2934,711
2935,674
2936,703
2937,646
2938,614
2939,580
2940,539
2941,490
2942,447
2943,417
2944,391
2945,376
2946,379
2947,361
2948,367
2949,350
2950,361
2951,360
2952,360
2953,366
2954,355
2955,377
2956,389
2957,402
2958,426
2959,438
2960,477
2961,494
2962,554
2963,575
2964,570
2965,609
2966,619
2967,586
2968,601
2969,604
2970,567
2971,556
2972,515
2973,508
2974,472
2975,432
2976,423
2977,394
2978,370
2979,368
2980,357
2981,361
2982,336
2983,350
2984,333
2985,335
2986,347
2987,341
2988,344
2989,334
2990,338
2991,322
2992,331
2993,348
2994,327
2995,330
2996,344
2997,322
2998,329
2999,338
